"Link","Title","Description","Creation Date","Author","Type"
"https://www.cnbc.com/select/best-credit-monitoring-services/","The best credit monitoring services that can help you spot fraud early","Here are the top six credit monitoring services that can help you keep track of your credit and receive alerts on potential fraud.","2020-06-15T15:45:38+0000","Alexandria White","article"
"https://www.cnbc.com/2022/11/07/anchain-ai-cnbc-top-startups-for-the-enterprise.html","AnChain.AI: 2022 Top Startups for the Enterprise","AnChain.AI's Web3 risk prevention and security platform aims to establish trust around blockchains and cryptocurrencies.","2022-11-07T16:00:01+0000","CNBC.com staff","article"
"https://www.cnbc.com/select/small-business/","Small Business","CNBC Select reviews a wide range of products geared toward small business owners, from credit cards to checking accounts to small business loans.","2021-10-01T16:05:27+0000","","website"
"https://www.cnbc.com/energy/","Energy","Find the latest news and analysis, headlines, blogs and videos about energy markets, gas, oil, coal, commodities, nuclear power from CNBC.com.","2014-10-15T14:25:50+0000","","website"
"https://www.cnbc.com/2023/11/17/mastercard-says-wide-adoption-of-cbdcs-is-difficult.html","Mastercard says wide adoption of central bank digital currencies would be ‘difficult’ right now","The difficult part of CBDCs is adoption, Ashok Venkateswaran, Mastercard's blockchain and digital assets lead for Asia-Pacific, told CNBC.","2023-11-17T04:23:34+0000","Sheila Chiang","article"
"https://www.cnbc.com/investingclub/video/","CNBC Investing Club: Video","","2022-11-15T21:39:28+0000","","website"
"https://www.cnbc.com/corrections/","CNBC News Corrections","CNBC News Corrections","2012-01-29T20:45:10-0500","CNBC","website"
"https://www.cnbc.com/options-action/","Options Action","CNBC’s “Options Action” vaults you into the fastest-growing corner of the markets. With guidance from industry experts, it demystifies the daunting terminology and simplifies strategies. Whether it's safely speculating or hedging your larger portfolio, ""Options Action"" shows you how to “Risk Less to Make More.""","2012-01-29T06:44:11+0000","","website"
"https://www.cnbc.com/select/mortgage-affordability/","2 rules to consider when deciding how much mortgage you can afford, according to a financial planner","CNBC Select spoke with a financial planner about how to decide how much your mortgage should be.","2020-10-19T21:22:35+0000","Ana Staples,Megan DeMatteo","article"
"https://www.cnbc.com/2024/04/09/intel-unveils-gaudi-3-ai-chip-as-nvidia-competition-heats-up-.html","Intel unveils latest AI chip as Nvidia competition heats up ","Intel is looking to take market share from current leader Nvidia, which has an estimated 80% of the AI chip market","2024-04-09T15:35:01+0000","Kif Leswing","article"
"https://www.cnbc.com/funds-and-etfs/","Funds and ETFs","Latest news and information on Exchange Traded Funds. ","2012-01-30T01:53:17+0000","","website"
"https://www.cnbc.com/china-markets/","China Markets","The latest on Chinese stocks and markets from CNBC.com.","2018-05-30T14:21:20+0000","","website"
"https://www.cnbc.com/2023/07/12/vietnams-digitalization-efforts-fuel-startup-scene.html","Vietnam's digitalization efforts fuel startup scene","Vietnam's national strategy on digital transformation aims to increase the digital economy's share of gross domestic product to 20% by 2025.","2023-07-12T02:16:43+0000","Nyshka Chandran","article"
"https://www.cnbc.com/life/","Life","Keep on top of the latest trends, tips, and information for life and leisure.","2012-05-02T04:24:09+0000","","website"
"https://www.cnbc.com/select/best-no-fee-checking-accounts/","Best no-fee checking accounts of April 2024","CNBC Select reviewed dozens of checking accounts from online banks, brick-and-mortar banks and credit unions to find the top 5 that charge no monthly fees.","2020-08-03T14:47:07+0000","Alexandria White","article"
"https://www.cnbc.com/select/what-are-etfs-should-you-invest/","What are ETFs and should you invest in them?","Exchange-traded funds trade like stocks but offer more diversification. Here's what you should know about investing with ETFs.","2021-09-18T13:30:02+0000","Elizabeth Gravier","article"
"https://www.cnbc.com/select/best-small-personal-loans/","4 personal loan lenders to consider if you need to borrow as little as $1,000","We looked at key factors like interest rates, fees, loan amounts and term lengths offered.","2021-12-04T14:00:01+0000","Jasmin Suknanan","article"
