Title,Authors,Date of Publication,Research Area Tags,Link to paper
"Protecting Privacy in Digital Records: The Potential of Privacy-Enhancing Technologies","John Werner, Victoria Lemieux","January 8, 2024","","https://dl.acm.org/doi/10.1145/3633477"
"Authenticating Citizen Journalism Videos by Incorporating the View of Archival Diplomatics into the Verification Processes of Open-source Investigators (OSINT)","Hoda Hamouda","December 31, 2023","","https://ai-collaboratory.net/wp-content/uploads/2023/11/S01211_9948.pdf"
"Analogous Analogues: Digital Twins and Hardware Tracking in GLAM Collections","Dian Ross, Edmond Cretu, Victoria Lemieux","December 31, 2023","","https://ai-collaboratory.net/wp-content/uploads/2023/11/S01208_3222.pdf"
"Will Blockchain Technology Change How Well National Archives Preserve the Trustworthiness of Digital Records?: Preliminary Results of a Survey","Özhan Sağlık, Victoria Lemieux","December 31, 2023","","https://ai-collaboratory.net/wp-content/uploads/2023/11/S01205_7202.pdf"
"Blockchain in Healthcare: Analysis, Design and Implementation","Chang Lu, Mohan Tanniru","December 30, 2023","","https://link.springer.com/book/10.1007/978-3-031-45339-7?sap-outbound-id=D2DBD2F364DE0D99D7A86359EEE8BA86BDE336D8&amp%3Butm_source=automation&amp%3Butm_medium=email&amp%3Butm_campaign=000_LAN36_0000019290_Book%20author%20congrats%20fallback&amp%3Butm_content=EN_34155_20240105&amp%3Bmkt-key=42010A0557EB1EDB99A9DD51D3A81C38#about-this-book"
"Role of Blockchain for IoE Infrastructures and Applications","Ibrahim Tariq, Kashif Naseer Qureshi","December 1, 2023","","https://link.springer.com/chapter/10.1007/978-3-031-45162-1_8"
"Accelerating and Securing Blockchain-enabled Distributed Machine Learning","Zehua (David) Wang, Yao Du, Cyril Leung, Victor Leung","October 19, 2023","","https://ieeexplore.ieee.org/document/10288252"
"Blockchain, AI, and Data Protection in Healthcare","Victoria Lemieux, Meng Kang, Deepansha Chhabra","October 16, 2023","","https://www.taylorfrancis.com/chapters/edit/10.1201/9781003227656-10/blockchain-ai-data-protection-healthcare-deepansha-chhabra-meng-kang-victoria-lemieux?context=ubx&amp%3BrefId=71199d93-8dec-4401-8ffb-d87e9ae9acfc"
"Backdoor attack and defense in federated generative adversarial network-based medical image synthesis","Xiaoxiao Li, Ruinan Jin","October 5, 2023","","https://www.sciencedirect.com/science/article/abs/pii/S1361841523002256#sec5"
"A Cyber Secure Medical Management System by Using Blockchain","Co-authored by: Dr. Ibrahim Tariq","August 31, 2023","","https://ieeexplore.ieee.org/document/9963785"
"Fast-HotStuff: A Fast and Robust BFT Protocol for Blockchains","Mohammad Jalalzai, Chen Feng, Jianyu Niu, Fangyu Gai","August 15, 2023","","https://www.computer.org/csdl/journal/tq/5555/01/10230315/1PU3KMSWywE"
"Exploring Blockchain Technology for Chain of Custody Control in Physical Evidence: A Systematic Literature Review","Co-authored by: Danielle Batista","August 2, 2023","","https://www.mdpi.com/1911-8074/16/8/360"
"‘Life World’ on Ledger: A ‘Scenic’ View","Victoria Lemieux, Nigel Dodd","June 29, 2023","","https://jdsr.se/ojs/index.php/jdsr/article/view/145"
"AChecker: Statically Detecting Smart Contract Access Control Vulnerabilities","Asem Ghaleb, Karthik Pattabiraman, Julia Rubin","June 29, 2023","","https://ieeexplore.ieee.org/document/10172877"
"MERCURY: Fast Transaction Broadcast in High Performance Blockchain Systems","Ivan Beschastnikh, Mingxun Zhou, Yilin Han, Liyi Zeng, Peilun Li, Fan Long, Dong Zhou, Ming Wu","May 18, 2023","","https://infocom.info/day/2/track/Track%20A"
"When Quantum Information Technologies Meet Blockchain in Web 3.0","Co-authored by: Victor Leung","May 1, 2023","","https://arxiv.org/abs/2211.15941"
"Blockchain-Based Cooperative Computation Offloading and Secure Handover in Vehicular Edge Computing Networks","Victor Leung, Ping Lang, Daxin Tian, Xuting Duan, Jianshan Zhou, Zhengguo Sheng","April 28, 2023","","https://ieeexplore.ieee.org/document/10111050"
"When Quantum Information Technologies Meet Blockchain in Web 3.0","Victor Leung, Ping Lang, Daxin Tian, Xuting Duan, Jianshan Zhou, Zhengguo Sheng","April 28, 2023","","https://ieeexplore.ieee.org/document/10111050"
"World State Attack to Blockchain Based IoV and Efficient Protection With Hybrid RSUs Architecture","Co-authored by: Victor Leung","April 26, 2023","","https://ieeexplore.ieee.org/document/10109192"
"Facilitating Serverless Match-based Online Games with Novel Blockchain Technologies","Co-authored by: Victor Leung","February 23, 2023","","https://dl.acm.org/doi/10.1145/3565884"
"Blockchain-based Data Quality Assessment to Improve Distributed Machine Learning","Yao Du, Zehua (David) Wang, Victor Leung, Cyril Leung","February 20, 2023","","https://ieeexplore.ieee.org/document/10074543"
"Protecting Privacy in Digital Records: An Exploration of the Potential of Privacy Enhancing Technologies","Victoria Lemieux, John Werner","February 20, 2023","","https://interparestrustai.org/assets/public/dissemination/RA06-Lemieux-WernerPETS-Presentation_AbuDhabi_Feb2023_pptx.pdf"
"Protecting Privacy in Digital Records: An Exploration of the Potential of Privacy Enhancing Technologies","Victoria Lemieux, John Werner","February 20, 2023","","https://interparestrustai.org/assets/public/dissemination/RA06-Lemieux-WernerPETS-Presentation_AbuDhabi_Feb2023_pptx.pdf"
"Committed Private Information Retrieval","Chen Feng, Hong Yen Tran, Son Hoang Dau, Xun Yi, Emanuele Viterbo, Yu-Chih Huang, Jingge Zhu, Stanislav Kruglik, Han Mao Kiah, Quang Cao","February 3, 2023","","https://arxiv.org/abs/2302.01733#:~:text=A%20private%20information%20retrieval%20(PIR,and%20try%20to%20learn%20i."
"A large-scale empirical study of low-level function use in Ethereum smart contracts and automated replacement","Rui Xi, Karthik Pattabiraman","November 9, 2022","","https://onlinelibrary.wiley.com/doi/abs/10.1002/spe.3163"
"Crystal: Enhancing Blockchain Mining Transparency With Quorum Certificate","Fangyu Gai, Jianyu Niu, Chen Feng, Yinqian Zhang, Ren Zhang, Runchao Hao","October 25, 2022","","https://ieeexplore.ieee.org/document/9927474"
"InFEDge: A Blockchain-Based Incentive Mechanism in Hierarchical Federated Learning for End-Edge-Cloud Communications","Co-authored by: Victor Leung","October 13, 2022","","https://ieeexplore.ieee.org/document/9919199"
"Defining Digital Trust Ecosystems","Trinh Nguyen","October 13, 2022","","https://trustoverip.org/wp-content/uploads/ToIP-Ecosystem-Defining-Digital-Trust-Ecosystem-V1.0-2022-10-13.pdf"
"Scaling Blockchain Consensus via a Robust Shared Mempool","Ivan Beschastnikh, Fangyu Gai, Jianyu Niu, Chen Feng, Sheng Wang","September 22, 2022","","https://arxiv.org/abs/2203.05158"
"Safeguarding The Records Of Homes, Lands, And Property For Displaced Peoples Using Decentralized Trust","Victoria Lemieux","September 21, 2022","","https://blockchain.ubc.ca/research/guardians-record-lab"
"Blockchain and Web3: Mirrors, “Jouissance” and Social & Personal Identity Formation","Victoria Lemieux, Quinn Dupont","September 19, 2022","","https://quinndupont.notion.site/Defining-Web3-An-Off-Chain-Collective-Research-Project-0239c233de4347ca8f8b838a156a8c56"
"Decentralized CRL Management for Vehicular Networks With Permissioned Blockchain","Co-authored by: Victor Leung","July 27, 2022","","https://ieeexplore.ieee.org/document/9842339"
"Leveraging Blockchain-Based Archival Solutions for Sensitive Documentation: a Xinjiang Case Study","Victoria Lemieux, Remy Hellstern, Daniel Park, Guldana Salimjan","July 18, 2022","","https://link.springer.com/article/10.1007/s44206-022-00007-1"
"Integrating Edge Intelligence and Blockchain: What, Why, and How","Co-authored by: Victor Leung","July 12, 2022","","https://ieeexplore.ieee.org/document/9826754"
"Cooperative Computation Offloading in Blockchain-Based Vehicular Edge Computing Networks","Co-authored by: Victor Leung","July 12, 2022","","https://ieeexplore.ieee.org/document/9827596"
"Accelerating Blockchain-enabled Distributed Machine Learning by Proof of Useful Work","Yao Du, Zehua (David) Wang, Victor Leung, Cyril Leung","June 10, 2022","","https://ieeexplore.ieee.org/document/9812927"
"Global Resource Allocation for High Throughput and Low Delay in High-Density VANETs","Co-authored by: Victor Leung","June 1, 2022","","https://ieeexplore.ieee.org/document/9786546"
"Reducing Revocation Latency in IoV using Edge Computing and Permissioned Blockchain","Co-authored by: Victor Leung","May 16, 2022","","https://ieeexplore.ieee.org/document/9838966"
"Publish or Perish: Defending Withholding Attack in Dfinity Consensus","Chen Feng, Hanzheng Lyu, Jianyu Niu, Fangyu Gai","April 13, 2022","","https://ieeexplore.ieee.org/abstract/document/9751477"
"eTainter: Detecting Gas-Related Vulnerabilities in Smart Contracts","Asem Ghaleb, Karthik Pattabiraman, Julia Rubin","April 8, 2022","","https://blogs.ubc.ca/dependablesystemslab/2022/04/08/etainter-detecting-gas-related-vulnerabilities-in-smart-contracts/"
"Searching for Trust: Blockchain Technology in an Age of Disinformation","Victoria Lemieux","March 28, 2022","","https://www.cambridge.org/core/books/searching-for-trust/B2F64551393899EBC6306EB42FCBE856"
"Devouring the Leader Bottleneck in BFT Consensus","Fangyu Gai, Jianyu Niu, Ivan Beschastnikh, Chen Feng, Sheng Wang","March 10, 2022","","https://arxiv.org/abs/2203.05158"
"NFTs: Tulip Mania or Digital Renaissance?","Dian Ross, Victoria Lemieux, Edmond Cretu","January 12, 2022","","https://ieeexplore.ieee.org/document/9671707"
"One Bad Apple Spoils the Bunch: Transaction DoS in MimbleWimble Blockchains","Seyed Ali Tabatabaee, Charlene Nicer, Ivan Beschastnikh, Chen Feng","December 24, 2021","","https://www.cs.ubc.ca/~bestchai/papers/icbc22-mimble-wimble-dos.pdf"
"When They Go Low: Automated Replacement of Low-level Functions in Ethereum Smart Contracts","Rui Xi, Karthik Pattabiraman","December 17, 2021","","https://blogs.ubc.ca/dependablesystemslab/2021/12/18/when-they-go-low-automated-replacement-of-low-level-functions-in-ethereum-smart-contracts/"
"A Blockchain-Enabled Federated Learning System with Edge Computing for Vehicular Networks","Co-authored by: Victor Leung","December 7, 2021","","https://ieeexplore.ieee.org/document/9682130"
"A Decentralized Identity-Based Blockchain Solution for Privacy-Preserving Licensing of Individual-Controlled Data to Prevent Unauthorized Secondary Data Usage","Meng Kang, Victoria Lemieux","November 23, 2021","","https://ledger.pitt.edu/ojs/ledger/article/view/239"
"Blockchain and Recordkeeping: Editorial","Victoria Lemieux","November 23, 2021","","https://www.mdpi.com/2073-431X/10/11/135"
"Fast B4B: Fast BFT for Blockchains","Victoria Lemieux, Mohammad Jalalzai, Chen Feng","October 10, 2021","","https://arxiv.org/pdf/2109.14604.pdf"
"Evaluating The Financial Impact of Data Breaches Involving Account Credentials","Scott Chu","September 17, 2021","","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3926497"
"Transaction Throughput Optimization for Integrated Blockchain and MEC System in IoT","Co-authored by: Victor Leung","August 5, 2021","","https://ieeexplore.ieee.org/document/9508194"
"Edge Intelligence for Object Detection in Blockchain-Based Internet of Vehicles: Convergence of Symbolic and Connectionist AI","Co-authored by: Victor Leung","August 1, 2021","","https://ieeexplore.ieee.org/document/9535450"
"An Efficient Ciphertext-Policy Attribute-Based Encryption Scheme Supporting Collaborative Decryption With Blockchain","Co-authored by: Victor Leung","July 26, 2021","","https://ieeexplore.ieee.org/document/9493763"
"Efficient Blockchain-Enabled Large Scale Parked Vehicular Computing With Green Energy Supply","Co-authored by: Victor Leung","July 26, 2021","","https://ieeexplore.ieee.org/document/9495142"
"Profit Maximizing Smart Manufacturing Over AI-Enabled Configurable Blockchains","Co-authored by: Victor Leung","July 21, 2021","","https://ieeexplore.ieee.org/document/9492289"
"Addressing Audit and Accountability Issues in Self-Sovereign Identity Blockchain Systems Using Archival Science Principles","Victoria Lemieux, Artemij Voskobojnikov, Meng Kang","July 12, 2021","","https://ieeexplore.ieee.org/document/9529840"
"A Cross-Pollination of ideas about Distributed Ledger Technological Innovation through a Multidisciplinary and Multisectoral lens: Insights from the Blockchain Technology Symposium ’21","Victoria Lemieux, Atefeh Mashatan, Rei Safavi-Naini, Jeremy Clark","May 31, 2021","","https://timreview.ca/article/1445"
"Deep Reinforcement Learning For Blockchain in Industrial IoT: A Survey","Zehua (David) Wang, Yulei Wu, Yuxiang Ma","May 21, 2021","","https://www.sciencedirect.com/science/article/pii/S1389128621001213#!"
"Blockchain-Assisted Secure Fine-Grained Searchable Encryption for a Cloud-Based Healthcare Cyber-Physical System","Co-authored by: Victor Leung","April 27, 2021","","https://ieeexplore.ieee.org/document/9416952"
"Blockchain-empowered Data-driven Networks: A Survey and Outlook","Zehua (David) Wang, Victor Leung, Xi Li, Hong Ji, Yiming Liu, Heli Zhang","April 17, 2021","","https://dl.acm.org/doi/10.1145/3446373"
"Building Decentralized Trust - Multidisciplinary Perspectives on the Design of Blockchains and Distributed Ledgers","Victoria Lemieux, Chen Feng","March 31, 2021","","https://www.springer.com/gp/book/9783030544133#aboutBook"
"Multidisciplinary Blockchain Research and Design: A Case Study in Moving from Theory to Pedagogy to Practice","Chelsea Palmer, Victoria Lemieux, Chris Rowell","March 18, 2021","","https://link.springer.com/chapter/10.1007%2F978-3-030-71292-1_46"
"Blockchain Empowered Mobile Edge Intelligence, Machine Learning and Secure Data Sharing","Zehua (David) Wang, Yao Du, Shuxiao Miao, Victoria Lemieux","March 11, 2021","","https://www.intechopen.com/online-first/75695"
"Blockchain-Empowered Mobile Edge Intelligence, Machine Learning and Secure Data Sharing","Yao Du, Shuxiao Miao, Victoria Lemieux, Zehua (David) Wang, Zitian Tong","March 11, 2021","","https://www.intechopen.com/chapters/75695"
"Dissecting the Performance of Chained-BFT","Chen Feng, Ivan Beschastnikh, Ali Farahbakhsh, Jianyu Niu, Hao Duan","February 28, 2021","","https://arxiv.org/abs/2103.00777"
"The impact of propagation delay to different selfish miners in proof-of-work blockchains","Co-authored by: Victor Leung","February 19, 2021","","https://link.springer.com/article/10.1007/s12083-021-01087-5"
"Blockchain-Enabled Edge Intelligence for IoT: Background, Emerging Trends and Open Issues","Zehua (David) Wang, Yao Du","February 16, 2021","","https://www.mdpi.com/1999-5903/13/2/48/htm"
"El Deseno de Sistemas de Información Como Imperative Para Recalcular Archivos","Victoria Lemieux","January 28, 2021","","https://publicaciones.acal.es/tabula/article/view/852"
"Incentive Analysis of Bitcoin-NG, Revisited","Chen Feng, Jianyu Niu, Ziyu Wang","December 30, 2020","","https://www.sciencedirect.com/science/article/abs/pii/S016653162030064X"
"Application and evaluation of payment channel in hybrid decentralized ethereum token exchange","Zehua (David) Wang, Victor Leung, Xuan Luo, Wei Cai, Xiuhua Li","December 29, 2020","","https://www.sciencedirect.com/science/article/pii/S2096720920300014"
"Bring Intelligence among Edges: A Blockchain-Assisted Edge Intelligence Approach","Co-authored by: Victor Leung","December 7, 2020","","https://ieeexplore.ieee.org/document/9348271"
"Institutional Settlements and Organizational Hybridity: The Rise and Fall of Supervised Consumption Sites","Chang Lu, Trish Reay, Elizabeth Goodrick","December 6, 2020","","https://www.emerald.com/insight/content/doi/10.1108/S0733-558X20200000069012/full/html"
"Application and Evaluation of Payment Channel in Hybrid Decentralized Ethereum Token Exchange","Zehua (David) Wang, Xuan Luo, Wei Cai, Xiuhua Li","November 30, 2020","","https://www.sciencedirect.com/science/article/pii/S2096720920300014"
"Consumers’ Intentions to Adopt Blockchain-Based Personal Health Records and Data Sharing: Focus Group Study","Chang Lu, Hoda Hamouda, Victoria Lemieux","November 10, 2020","","https://formative.jmir.org/2020/11/e21995"
"Private-Blockchain-Based Industrial IoT for Material and Product Tracking in Smart Manufacturing","Victor Leung, Mohammad Iqbal Saryuddin Assaqty, Ying Gao, Xiping Hu, Zhaolong Ning, Quansi Wen, Yijian Chen","October 30, 2020","","https://ieeexplore-ieee-org.ezproxy.library.ubc.ca/stamp/stamp.jsp?tp&amp%3Barnumber=9199799"
"Fast-HotStuff: A Fast and Resilient HotStuff Protocol","Mohammad Jalalzai, Chen Feng, Jianyu Niu","October 27, 2020","","https://arxiv.org/pdf/2010.11454.pdf"
"Infinity Battle: A Glance at How Blockchain Techniques Serve in a Serverless Gaming System","Co-authored by: Victor Leung","October 12, 2020","","https://dl.acm.org/doi/10.1145/3394171.3414458"
"CloudArcade: A Blockchain Empowered Cloud Gaming System","Zehua (David) Wang, Victor Leung, Wei Cai, Juntao Zhao, Yuanfang Chi","October 6, 2020","","https://dl.acm.org/doi/abs/10.1145/3384943.3409420"
"CloudArcade: A Blockchain Empowered Cloud Gaming System","Zehua (David) Wang, Juntao Zhao, Yuanfang Chi","October 5, 2020","","https://dl.acm.org/doi/abs/10.1145/3384943.3409420"
"Incentive Analysis of Bitcoin-NG, Revisited","Chen Feng, Jianyu Niu, Ziyu Wang","October 1, 2020","","https://arxiv.org/abs/2001.05082"
"Intelligent Resource Allocation for Video Analytics in Blockchain-Enabled Internet of Autonomous Vehicles with Edge Computing","Xiantao Jiang, Richard Yu, Tian Song","September 29, 2020","","https://ieeexplore-ieee-org.ezproxy.library.ubc.ca/stamp/stamp.jsp?tp&amp%3Barnumber=9205310"
"Intelligent Resource Allocation for Video Analytics in Blockchain-Enabled Internet of Autonomous Vehicles With Edge Computing","Co-authored by: Victor Leung","September 24, 2020","","https://ieeexplore.ieee.org/document/9205310"
"Blockchain-Enabled Security and Privacy for Internet-of-Vehicles","Co-authored by: Victor Leung","September 19, 2020","","https://link.springer.com/chapter/10.1007/978-3-030-46335-9_9"
"How Blockchain Capabilities Advance Data Sharing and Benefit Virtual Care","Chang Lu","August 31, 2020","","https://www.himss.org/resources/how-blockchain-capabilities-advance-data-sharing-and-benefit-virtual-care"
"Optimizing the Transition Waste in Coded Elastic Computing","Chen Feng, Hoang Dau, Ryan Gabrys, Liyi Zeng, Yu-Chih Huang, Quang-Hung Luu, Eidah Alzahrani, Zahir Tari","August 24, 2020","","https://ieeexplore.ieee.org/document/9174521"
"HIBAR Research: The Frontier Is Actually an Ecosystem","Lyle H. Schwartz, Gretchen B. Jordan","August 13, 2020","","https://issues.org/the-endless-frontier-legislation-hibar-research-innovation-ecosystem/"
"Compute-Forward for DMCs: Simultaneous Decoding of Multiple Combinations","Chen Feng, Sung Hoon Lim, Michael Gastpar, Adriano Pastore, Bobak Nazer","July 22, 2020","","https://ieeexplore.ieee.org/abstract/document/9146568"
"How effective are smart contract analysis tools? evaluating smart contract static analysis tools using bug injection","Asem Ghaleb, Karthik Pattabiraman","July 15, 2020","","https://dl.acm.org/doi/abs/10.1145/3395363.3397385"
"Secrecy Performance of NOMA Systems with Energy Harvesting and Full-Duplex Relaying","Chen Feng, Cheng Guo, Liqiang Zhao, Zhiguo Ding, Hui-Ming Wang","July 12, 2020","","https://ieeexplore.ieee.org/abstract/document/9139266"
"Surviving in Platform Ecosystems Based on Distributed Trust Technologies: A Framework and Research Agenda"","Chris Rowell","July 7, 2020","","https://journals.aom.org/doi/abs/10.5465/AMBPP.2018.15695symposium"
"CVIN: Connected Vehicle Information Network","Chen Feng, Nikhil Prakesh, David G. Michelson","June 29, 2020","","https://ieeexplore.ieee.org/document/9128642"
"Blockchain and Machine Learning for Communications and Networking Systems","Yiming Liu, Richard Yu, Xi Li, Hong Ji","June 29, 2020","","https://ieeexplore-ieee-org.ezproxy.library.ubc.ca/stamp/stamp.jsp?tp&amp%3Barnumber=9007406"
