"Link","Title","Description","Published Date","Author","Keywords","Type"
"https://www.frontiersin.org/about/how-we-publish","Frontiers | How we publish","Frontiers' publishing is driven by the principle of placing publishing back into the hands of researchers, enabled by scalable technology.","","","","website"
"https://www.frontiersin.org/guidelines/policies-and-publication-ethics","Frontiers | Policies and publication ethics","All submissions to Frontiers must align with our and COPE ethics guidelines. All Frontiers articles since July 2012 are published under the Creative Commons CC-BY license","","","","website"
"https://www.frontiersin.org/about/contact","Frontiers | Contact us","Do you have a question or enquiry? We are here to help. Please find on this page general contact information","","","","website"
"https://www.frontiersin.org/about/national-consortia","Frontiers | National consortia","We work with research partners to improve the ways researchers are supported when publishing open access: institutional members, national consortium agreement","","","","website"
"https://www.frontiersin.org/about/open-access","Frontiers | Open Access","Frontiers is a gold open access publisher.  At publication, all articles from our journals are immediately and permanently accessible online free of charge","","","","website"
"https://www.frontiersin.org/journals/blockchain/about#about-facts","Frontiers in Blockchain | About","This innovative journal explores blockchain and related technologies. It advances our understanding of the state-of-the-art in these fields, and their application across cryptology, cryptocurrencie...","","","","website"
"https://www.frontiersin.org/journals/blockchain/for-authors/editor-guidelines","Frontiers in Blockchain | About","This innovative journal explores blockchain and related technologies. It advances our understanding of the state-of-the-art in these fields, and their application across cryptology, cryptocurrencie...","","","","website"
"https://www.frontiersin.org/articles/10.3389/fbloc.2024.1361659","Enhancing blockchain scalability with snake optimization algorithm: a novel approach","Scalability remains a critical challenge for blockchain technology, limiting its potential for widespread adoption in high-demand transactional systems. This paper proposes an innovative solution to this challenge by applying the Snake Optimization Algorithm (SOA) to a blockchain framework, aimed at enhancing transaction throughput and reducing latency. A thorough literature review contextualizes our work within the current state of blockchain scalability efforts. We introduce a methodology that integrates SOA into the transaction validation process of a blockchain network. The effectiveness of this approach is empirically evaluated by comparing transaction processing times before and after the implementation of SOA. The results show a substantial reduction in latency, with the optimized system achieving lower average transaction times across various transaction volumes. Notably, the latency for processing batches of 10 and 100 transactions decreased from 30.29 ms to 155.66 ms–0.42 ms and 0.37 ms, respectively, post optimization. These findings indicate that SOA is exceptionally efficient in batch transaction scenarios, presenting an inverse scalability behavior that defies typical system performance degradation with increased load. Our research contributes a significant advancement in blockchain scalability, with implications for the development of more efficient and adaptable blockchain systems suitable for high throughput enterprise applications.","","Taher, Shimal S. H.","blockchain 1; Scalability2; Snake Optimization3; Efficiency4; Dynamic sharding 5","article"
"https://pressoffice.frontiersin.org/","Frontiers press office","","","","","website"
"https://www.frontiersin.org/articles/10.3389/fbloc.2024.1359130","Integrated Cybersecurity for Metaverse Systems Operating with Artificial Intelligence, Blockchains, and Cloud Computing","In the ever-evolving realm of cybersecurity, the increasing integration of Metaverse systems with cutting-edge technologies such as Artificial Intelligence (AI), Blockchain, and Cloud Computing presents a host of new opportunities alongside significant challenges. This article employs a methodological approach that combines an extensive literature review with focused case study analyses to examine the changing cybersecurity landscape within these intersecting domains. The emphasis is particularly on the Metaverse, exploring its current state of cybersecurity, potential future developments, and the influential roles of AI, blockchain, and cloud technologies.Our thorough investigation assesses a range of cybersecurity standards and frameworks to determine their effectiveness in managing the risks associated with these emerging 2 technologies. Special focus is directed towards the rapidly evolving digital economy of the Metaverse, investigating how AI and blockchain can enhance its cybersecurity infrastructure whilst acknowledging the complexities introduced by cloud computing.The results highlight significant gaps in existing standards and a clear necessity for regulatory advancements, particularly concerning blockchain's capability for self-governance and the early-stage development of the Metaverse. The article underscores the need for proactive regulatory involvement, stressing the importance of cybersecurity experts and policymakers adapting and preparing for the swift a...","","Radanliev, Petar","artificial intelligence; cybersecurity; Cyber assurance; Cyber risk; cybersecurity standards; Cybersecurity frameworks; Cloud Security; BLOCKCHAIN SECURITY","article"
