Link, Title, Description, Author, Date, Type
https://www.scmp.com/tech/tech-trends/article/3255408/another-blockchain-conference-heads-hong-kong-amid-citys-concerted-push-crypto-hub-status,Hong Kong snags another blockchain conference amid crypto hub push,Chainlink will host its annual SmartCon in Hong Kong this October an announcement that comes after CoinDesk said it is bringing Consensus to the city next year.,Xinmei Shen,2024-03-15T07:00:14+08:00,article
https://www.scmp.com/tech/tech-trends/article/3253280/htx-formerly-huobi-withdraws-hong-kong-crypto-licence-application-three-days-after-submission,HTX formerly Huobi resubmits Hong Kong crypto licence application,The world’s fifth-largest crypto exchange is hoping to win customers in Hong Kong after exiting the mainland market.,Xinmei Shen,2024-02-27T09:00:30+08:00,article
https://www.scmp.com/tech/blockchain/article/3257878/stablecoin-giant-tether-backing-unstoppable-chat-app-crypto-take-big-tech,Stablecoin giant Tether backs ‘unstoppable’ chat app to take on Big Tech,Tether CEO Paolo Ardoino’s new venture Holepunch has launched a peer-to-peer messaging app called Keet to aid the mission of ‘financial freedom’.,Matt Haldane,2024-04-05T07:00:20+08:00,article
https://www.scmp.com/comment/opinion/article/3236647/why-jpex-scandal-wont-derail-hong-kongs-cryptocurrency-ambitions,Opinion | Why JPEX scandal won’t derail Hong Kong’s cryptocurrency ambitions,The silver lining is that Hong Kong has a licensing regime capable of addressing the regulatory challenge JPEX exposed making it safer for retail investors in an industry maturing beyond mere speculation.,Lily Z. King,2023-10-05T05:30:09+08:00,article
https://www.scmp.com/business/banking-finance/article/3254579/hong-kongs-cutting-edge-central-bank-digital-currency-pilot-burnishes-blockchain-credentials-boosts,Exclusive | CBDC pilot boosts Hong Kong’s blockchain international hub credentials: Yue,‘We’ve always been at the cutting edge of the whole blockchain evolution including CBDCs’ Yue CEO of the Hong Kong Monetary Authority the city’s de facto central bank tells the Post.,Aileen Chuang,2024-03-08T05:00:37+08:00,article
https://www.scmp.com/news/hong-kong/hong-kong-economy/article/3257172/dubai-prince-vows-open-family-office-hong-kong-end-may-after-abruptly-postponing-earlier-launch,Who is William Tien the close aide of Dubai prince opening Hong Kong office?,The background of Sheikh Ali Rashed Ali Saeed Al Maktoum has come under the spotlight and one of his close aides has a mixed track record as an entrepreneur.,Kahon Chan,2024-03-29T11:15:10+08:00,article
https://www.scmp.com/tech/policy/article/3253984/chinese-state-media-warns-against-cryptocurrency-trading-domestic-interest-surge-bitcoin-rally,Chinese state media warns against cryptocurrency as bitcoin rallies,Wild fluctuations in bitcoin’s value remain the norm and cryptocurrencies have yet to enter the mainstream an Economic Daily article says.,Xinmei Shen,2024-03-04T07:00:18+08:00,article
https://www.scmp.com/comment/opinion/article/3220859/ukraine-cambodia-women-far-home-need-access-finance,Opinion | From Ukraine to Cambodia women far from home need access to finance,If displaced people are unable to access financial services they are at heightened risk of poverty. While private sector tools such as digital wallets have proved helpful government efforts including creating easy-to-access identity documents are much needed too.,Sonja Kelly,2023-05-19T03:30:19+08:00,article
https://www.scmp.com/business/banking-finance/article/3255417/hong-kongs-digital-currency-hkma-launches-phase-2-e-hkd-pilot-programme-delving-deeper-potential,Hong Kong digital coin moves closer to public use with launch of phase 2 trials,The Hong Kong Monetary Authority has launched the second phase of a pilot programme to explore ‘innovative’ uses for a central bank digital currency (CBDC) for public use five months after it unveiled the results of the first trial run.,Aileen Chuang,2024-03-14T20:30:10+08:00,article
https://www.scmp.com/tech/blockchain/article/3258108/web3-festival-attracts-smaller-crowd-greater-enthusiasm-hong-kong-after-record-bitcoin-price,Hong Kong’s Web3 Festival attracts smaller crowd but greater enthusiasm,While there were fewer exhibitors this year the Web3 Festival has attracted a more international crowd with 80 per cent of participants from outside the city.,Xinmei Shen,2024-04-07T10:01:08+08:00,article
https://www.scmp.com/tech/policy/article/3252988/hong-kong-financial-affairs-chief-vows-move-ahead-regulating-stablecoins-over-counter-crypto-trading,Hong Kong vows to regulate stablecoins over-the-counter crypto shops,The government will submit a bill on licensing rules for stablecoin issuers and OTC trading services to the legislature ‘as soon as practicable’ says the city’s financial affairs chief.,Xinmei Shen,2024-02-23T18:30:11+08:00,article
https://www.scmp.com/tech/tech-trends/article/3251352/chinese-bitcoin-miners-are-flocking-ethiopia-attracted-cheap-energy-ideal-climate,Why Chinese bitcoin miners are flocking to Ethiopia,The east African nation has emerged as a haven for Chinese bitcoin miners who were forced out of their home country after Beijing imposed a crypto ban.,Bloomberg,2024-02-08T12:45:21+08:00,article
https://www.scmp.com/tech/policy/article/3253817/hong-kongs-crypto-licensing-scheme-attracts-less-interest-singapore-24-applicants-day-after-deadline,Hong Kong’s 24 crypto license applicants after deadline exposes Singapore gap,The SFC saw a jump in last-minute applications but the number of applicants so far falls far short of the 70 that Singapore saw after a similar regulation.,Matt Haldane,2024-03-01T18:00:28+08:00,article
https://www.scmp.com/comment/opinion/article/3255282/hkma-steals-march-new-wholesale-central-bank-digital-currency,Opinion | HKMA steals march with its new wholesale central bank digital currency,De facto central bank aims for first-mover advantage through blockchain technology providing welcome lift to Hong Kong’s image as global financial centre,SCMP Editorial,2024-03-14T06:15:22+08:00,article
https://www.scmp.com/tech/blockchain/article/3258536/bitcoin-main-attraction-hong-kong-web3-festival-ahead-imminent-etf-approval,Bitcoin the main attraction at Hong Kong Web3 Festival ahead of expected ETF,Crypto industry executives were touting the benefits of bitcoin at the four-day Web3 Festival amid anticipation for the approval of spot ETFs this month.,Xinmei Shen,2024-04-10T21:30:12+08:00,article
https://www.scmp.com/business/banking-finance/article/3254263/cryptocurrency-game-changing-blockchain-will-need-shrewd-regulation-protect-consumers-says-franklin,Blockchain needs shrewd financial regulation: Franklin Templeton boss,Blockchain is shaking up the financial sector and given the popularity of bitcoin exchange-traded funds regulators will need to step up their game when it comes to consumer protection and oversight says the president and chief executive of fund manager Franklin Templeton.,Mia Castagnone,2024-03-05T19:15:21+08:00,article
https://www.scmp.com/comment/opinion/article/3226970/ai-silver-bullet-bangladesh-futureproofs-its-education-frugal-innovation-instead,Opinion | AI as silver bullet? Bangladesh shows frugal innovation works too,While the rich world agonises over the latest tech Bangladesh is getting on with future-proofing its educational system using low-cost high-impact digital tools.,Ashfaq Zaman,2023-07-11T03:30:13+08:00,article
https://www.scmp.com/tech/tech-trends/article/3250461/no-bitcoin-beijing-equity-exchange-cbex-denies-links-crypto-firm-same-name,Beijing equity exchange clarifies it does not sell crypto in name mix-up,China Beijing Equity Exchange said it has no connections to the overseas crypto company CBEX Group as authorities’ maintain hostility towards such assets.,Xinmei Shen,2024-02-01T09:00:16+08:00,article
https://www.scmp.com/news/hong-kong/hong-kong-economy/article/3257172/dubai-prince-vows-open-family-office-hong-kong-end-may-after-abruptly-postponing-earlier-launch,Who is William Tien the close aide of Dubai prince opening Hong Kong office?,The background of Sheikh Ali Rashed Ali Saeed Al Maktoum has come under the spotlight and one of his close aides has a mixed track record as an entrepreneur.,Kahon Chan,2024-03-29T11:15:10+08:00,article
https://www.scmp.com/tech/tech-trends/article/3255645/chinese-selfie-app-meitu-finds-its-footing-ai-profit-triples-after-raft-failed-bets,Selfie app Meitu finds its footing with AI after a raft of failed bets,The Chinese company which tripled its profits in 2023 ailed the success of its new-found focus on AI after a series of misfired bets ranging from cryptocurrencies to smartphones.,Kelly Le,2024-03-16T18:30:13+08:00,article
https://www.scmp.com/tech/policy/article/3255129/stablecoin-sandbox-launches-hong-kong-companies-make-plans-cryptocurrencies-pegged-local-currency,Stablecoin sandbox launches in Hong Kong but participants not guaranteed licence,The Hong Kong Monetary Authority launched a plan to trial stablecoins announced in December for companies with a ‘genuine interest’ in fiat-backed crypto.,Matt Haldane,2024-03-13T08:00:20+08:00,article
https://www.scmp.com/week-asia/opinion/article/3236127/global-ai-ethics-framework-needed-enshrine-rules-good-corporate-citizen,Opinion | Global AI ethics guide needed to enshrine rules of a ‘good corporate citizen’,Without some level of harmonisation the world may be a long way off from a universally enshrined set of AI codes of conduct.,Su-Lin Tan,2023-09-29T10:30:10+08:00,article
https://www.scmp.com/week-asia/opinion/article/3256263/asian-cryptocurrency-scams-spike-investor-education-key-combating-menace,Opinion | As Asian cryptocurrency scams spike education is key to combating menace,Online scam syndicates are growing exponentially as more investors fall for get-rich-quick traps amid surging prices of cryptocurrencies.,Biman Mukherji,2024-03-22T10:00:22+08:00,article
https://www.scmp.com/business/banking-finance/article/3256859/hsbc-launches-tokenised-gold-retail-customers-hong-kong-government-pushes-publicly-accessible,HSBC launches tokenised gold for customers in Hong Kong amid digital assets push,HSBC Gold Token which will be available on the lender’s online banking and mobile app is the first such retail product to be issued by a bank according to HSBC as the government pushes for more digital assets to be rolled out for public use.,Aileen Chuang,2024-03-27T10:28:54+08:00,article
https://www.scmp.com/comment/opinion/article/3219371/how-ai-and-cryptocurrency-can-work-together-realise-web3s-potential,Opinion | AI and cryptocurrency combined could help Web3 reach its potential,The convergence of AI and cryptocurrency could bring out each other’s strengths and drive the next generation of the internet. This is a dynamic rapidly evolving field with enormous potential for growth and innovation for investors and entrepreneurs.,Lily Z. King,2023-05-06T00:30:09+08:00,article
https://www.scmp.com/tech/blockchain/article/3257595/binance-hong-kong-affiliate-hkvaex-shuts-down-operations-after-withdrawing-crypto-licence,Binance’s Hong Kong affiliate to shut down after ending crypto licence bid,HKVAEX is advising users to withdraw funds this month ahead of its May 1 shutdown just three months after it submitted an application for a crypto licence.,Matt Haldane,2024-04-02T19:00:16+08:00,article
https://www.scmp.com/tech/blockchain/article/3258406/ethereum-co-founder-vitalik-buterin-makes-last-minute-appearance-hong-kong-web3-festival-city-woos,Ethereum co-founder shows up at Web3 Festival after sceptical Hong Kong comments,Vitalik Buterin made a rare last-minute appearance at Hong Kong’s biggest Web3 event for a 20 minute technical talk on blockchain tech.,Xinmei Shen,2024-04-09T22:00:22+08:00,article
https://www.scmp.com/comment/opinion/article/3221939/how-hong-kong-can-re-establish-itself-global-digital-assets-hub,Opinion | How Hong Kong can re-establish itself as a global digital assets hub,With the inclusion of retail investors from June 1 in its new regulatory regime Hong Kong is becoming known as a digital-asset-friendly jurisdiction. To become a true hub it must continue to regulate effectively recognise the specific tech requirements and include emerging retail and institutional use cases.,Amy Zhang,2023-05-29T16:15:17+08:00,article
https://www.scmp.com/comment/opinion/article/3236647/why-jpex-scandal-wont-derail-hong-kongs-cryptocurrency-ambitions,Opinion | Why JPEX scandal won’t derail Hong Kong’s cryptocurrency ambitions,The silver lining is that Hong Kong has a licensing regime capable of addressing the regulatory challenge JPEX exposed making it safer for retail investors in an industry maturing beyond mere speculation.,Lily Z. King,2023-10-05T05:30:09+08:00,article
https://www.scmp.com/tech/blockchain/article/3255980/cbdc-trial-hong-kong-could-finally-enable-blockchain-digitise-shipping-help-ant-group,Hong Kong’s CBDC trial and Ant’s blockchain are helping to digitise shipping,Hong Kong’s Global Shipping Business Network has finished a prototype of its first electronic bill of lading in collaboration with Ant Group’s ZAN blockchain unit.,Xinmei Shen,2024-03-20T07:00:21+08:00,article
https://www.scmp.com/comment/opinion/article/3225915/chatgpt-may-have-stolen-spotlight-central-bank-digital-currencies-are-innovation-watch,Opinion | Why central bank digital currencies are the innovation to watch,Central banks across the world are responding to the challenge posed by the rise of decentralised finance by creating their own digital currencies to retain control while providing a trusted transparent efficient and resilient financial system that avoids scams and enables official oversight.,Andrew Sheng,2023-07-01T01:30:11+08:00,article
https://www.scmp.com/week-asia/economics/article/3253865/how-crypto-investigators-uncover-scammers-blockchain-billions-scale-money-laundering-asia,How crypto investigators uncover scammers’ blockchain billions in Asia,Cryptocurrency analysts are increasingly investigating the mechanics of how criminals hide their proceeds as Asia’s online gambling and scam industries grow ever more sophisticated.,Danielle Keeton-Olsen,2024-03-02T12:43:19+08:00,article
