Who Writes the Rules of a Blockchain?,https://hbr.org/2021/07/who-writes-the-rules-of-a-blockchain,23-Jul-21,Jake Ryan,Finance & Accounting
Blockchain Could Help Us Reclaim Control of Our Personal Data,https://hbr.org/2017/10/smart-ledgers-can-help-us-reclaim-control-of-our-personal-data,5-Oct-17,Michael Mainelli,Analytics and data science
Will We Realize Blockchain's Promise of Decentralization?,https://hbr.org/2019/09/will-we-realize-blockchains-promise-of-decentralization,4-Sep-19,Hanna Halaburda; Christoph Mueller Bloch,Technology & Operations
Blockchain Will Transform Customer Loyalty Programs,https://hbr.org/2017/03/blockchain-will-transform-customer-loyalty-programs,14-Mar-17,Alex J Hill; Dan Kowalewski; Jessica McLaughlin,Sales & Marketing
How Utilities Are Using Blockchain to Modernize the Grid,https://hbr.org/2017/03/how-utilities-are-using-blockchain-to-modernize-the-grid,23-Mar-17,James Basden; Michael Cottrell,Technology & Operations
Platforms and Blockchain Will Transform Logistics,https://hbr.org/2019/06/platforms-and-blockchain-will-transform-logistics,19-Jun-19,Sangeet Paul Choudary; Marshall W. Van Alstyne; Geoffrey G Parker,Technology & Operations
Whiteboard Session: How Does Blockchain Work?,https://hbr.org/video/5582134272001/whiteboard-session-how-does-blockchain-work,20-Sep-17,Karim R. Lakhani,Technology & Operations
How the Pandemic Is Pushing Blockchain Forward,https://hbr.org/2020/04/how-the-pandemic-is-pushing-blockchain-forward,27-Apr-20,Remko Van Hoek; Remko van Hoek; Mary Lacity,Technology & Operations
Blockchain Could Help Musicians Make Money Again,https://hbr.org/2017/06/blockchain-could-help-musicians-make-money-again,5-Jun-17,Imogen Heap,Technology & Operations
Blockchain Could Make the Insurance Industry Much More Transparent,https://hbr.org/2017/07/blockchain-could-make-the-insurance-industry-much-more-transparent,12-Jul-17,Dante Disparte,Technology and analytics
How Safe Are Blockchains? It Depends.,https://hbr.org/2017/03/how-safe-are-blockchains-it-depends,7-Mar-17,Allison Berke,Technology & Operations
How Blockchain Can Help Marketers Build Better Relationships with Their Customers,https://hbr.org/2018/10/how-blockchain-can-help-marketers-build-better-relationships-with-their-customers,1-Oct-18,Campbell R Harvey; Christine Moorman; Marc Toledo,Sales & Marketing
